row_id,weight_orig,mental_health_not_good,grade
1,180.0,1.0,
2,233.0,3.0,
3,165.0,2.0,
4,105.0,3.0,
5,125.0,3.0,
6,160.0,,
7,165.0,3.0,
8,162.0,2.0,
9,135.0,3.0,
10,117.0,1.0,
11,140.0,1.0,
12,159.0,1.0,
13,145.0,1.0,
14,300.0,1.0,
15,163.0,1.0,
16,215.0,4.0,
17,270.0,1.0,
18,150.0,3.0,
19,110.0,3.0,
20,115.0,3.0,
21,,3.0,
22,290.0,3.0,
23,210.0,2.0,
24,183.0,1.0,
25,132.0,2.0,
26,150.0,4.0,
27,104.0,5.0,
28,165.0,1.0,
29,185.0,3.0,
30,165.0,3.0,
31,140.0,2.0,
32,155.0,2.0,
33,175.0,1.0,
34,140.0,4.0,
35,138.0,5.0,
36,154.0,2.0,
37,117.0,3.0,
38,245.0,1.0,
39,270.0,2.0,
40,155.0,1.0,
41,126.0,2.0,
42,125.0,1.0,
43,98.0,4.0,
44,162.0,3.0,
45,175.0,5.0,
46,185.0,2.0,
47,121.0,5.0,
48,156.0,4.0,
49,110.0,4.0,
50,125.0,4.0,
51,118.0,1.0,
52,160.0,3.0,
53,220.0,1.0,
54,170.0,2.0,
55,178.0,2.0,
56,190.0,2.0,
57,130.0,2.0,
58,270.0,2.0,
59,135.0,1.0,
60,210.0,5.0,
61,145.0,2.0,
62,245.0,2.0,
63,155.0,1.0,
64,145.0,3.0,
65,90.0,1.0,
66,120.0,2.0,
67,135.0,3.0,
68,190.0,2.0,
69,250.0,5.0,
70,100.0,2.0,
71,135.0,1.0,
72,150.0,3.0,
73,185.0,1.0,
74,175.0,4.0,
75,120.0,3.0,
76,200.0,,
77,125.0,3.0,
78,200.0,1.0,
79,130.0,1.0,
80,164.0,4.0,
81,103.0,2.0,
82,129.0,3.0,
83,160.0,2.0,
84,98.0,4.0,
85,180.0,5.0,
86,198.0,4.0,
87,236.0,4.0,
88,105.0,1.0,
89,155.0,3.0,
90,136.0,3.0,
91,250.0,3.0,
92,165.0,1.0,
93,138.0,2.0,
94,158.0,2.0,
95,120.0,1.0,
96,149.0,2.0,
97,,4.0,
98,120.0,1.0,
99,140.0,3.0,
100,185.0,4.0,
101,155.0,,
102,160.0,1.0,
103,147.0,4.0,
104,160.0,1.0,
105,172.0,1.0,
106,165.0,4.0,
107,112.0,5.0,
108,240.0,2.0,
109,125.0,3.0,
110,175.0,2.0,
111,160.0,3.0,
112,175.0,4.0,
113,130.0,3.0,
114,117.0,3.0,
115,146.0,4.0,
116,137.0,5.0,
117,185.0,5.0,
118,198.0,2.0,
119,215.0,3.0,
120,120.0,3.0,
121,160.0,4.0,
122,121.0,2.0,
123,140.0,3.0,
124,170.0,3.0,
125,138.0,5.0,
126,150.0,5.0,
127,185.0,3.0,
128,196.0,5.0,
129,174.0,5.0,
130,110.0,1.0,
131,121.0,3.0,
132,200.0,1.0,
133,215.0,1.0,
134,157.0,5.0,
135,146.0,2.0,
136,143.0,1.0,
137,150.0,2.0,
138,150.0,4.0,
139,155.0,1.0,
140,170.0,4.0,
141,107.0,4.0,
142,150.0,1.0,
143,185.0,3.0,
144,220.0,3.0,
145,,1.0,
146,230.0,2.0,
147,150.0,1.0,
148,150.0,1.0,
149,125.0,4.0,
150,133.0,1.0,
151,150.0,2.0,
152,120.0,3.0,
153,214.0,1.0,
154,150.0,,
155,125.0,1.0,
156,245.0,1.0,
157,220.0,2.0,
158,90.0,4.0,
159,135.0,2.0,
160,216.0,2.0,
161,73.0,5.0,
162,166.0,1.0,
163,143.0,3.0,
164,190.0,2.0,
165,134.0,3.0,
166,182.0,3.0,
167,156.0,3.0,
168,290.0,4.0,
169,156.0,1.0,
170,280.0,4.0,
171,238.0,,
172,140.0,5.0,
173,264.0,4.0,
174,161.0,2.0,
175,,2.0,
176,166.0,1.0,
177,176.0,2.0,
178,230.0,4.0,
179,152.0,3.0,
180,146.0,3.0,
181,195.0,1.0,
182,,1.0,
183,118.0,2.0,
184,245.0,3.0,
185,140.0,1.0,
186,196.0,2.0,
187,199.0,1.0,
188,170.0,4.0,
189,125.0,4.0,
190,111.0,1.0,
191,130.0,5.0,
192,120.0,5.0,
193,104.0,4.0,
194,142.0,3.0,
195,205.0,1.0,
196,116.0,1.0,
197,135.0,1.0,
198,380.0,3.0,
199,123.0,2.0,
200,156.0,4.0,
201,115.0,1.0,
202,168.0,4.0,
203,150.0,1.0,
204,115.0,4.0,
205,215.0,2.0,
206,175.0,4.0,
207,186.0,3.0,
208,170.0,3.0,
209,112.0,3.0,
210,61.0,,
211,150.0,4.0,
212,245.0,1.0,
213,225.0,4.0,
214,132.0,2.0,
215,151.0,2.0,
216,190.0,,
217,,,
218,130.0,3.0,
219,125.0,4.0,
220,190.0,5.0,
221,191.0,3.0,
222,130.0,3.0,
223,260.0,3.0,
224,163.0,3.0,
225,170.0,3.0,
226,205.0,4.0,
227,155.0,1.0,
228,227.0,2.0,
229,135.0,2.0,
230,50.0,,
231,140.0,3.0,
232,150.0,3.0,
233,150.0,1.0,
234,158.0,4.0,
235,195.0,1.0,
236,130.0,3.0,
237,192.0,1.0,
238,218.0,5.0,
239,125.0,2.0,
240,182.0,3.0,
241,131.0,5.0,
242,161.0,1.0,
243,130.0,5.0,
244,245.0,2.0,
245,236.0,4.0,
246,160.0,1.0,
247,130.0,1.0,
248,120.0,1.0,
249,135.0,2.0,
250,190.0,1.0,
251,252.0,3.0,
252,135.0,4.0,
253,157.0,1.0,
254,159.0,5.0,
255,121.0,4.0,
256,140.0,,
257,140.0,5.0,
258,110.0,1.0,
259,204.0,1.0,
260,115.0,4.0,
261,188.0,3.0,
262,128.0,1.0,
263,135.0,2.0,
264,150.0,4.0,
265,150.0,1.0,
266,107.0,1.0,
267,137.0,3.0,
268,119.0,3.0,
269,189.0,3.0,
270,135.0,1.0,
271,135.0,3.0,
272,153.0,3.0,
273,125.0,3.0,
274,120.0,1.0,
275,122.0,,
276,134.0,2.0,
277,325.0,2.0,
278,130.0,2.0,
279,125.0,2.0,
280,,3.0,
281,,2.0,
282,120.0,5.0,
