row_id,age,sex,grade,social_media_use,mental_health_not_good,sleep_hours,bmipct,height_orig,weight_orig
1,,,,6.0,1.0,3.0,97.08,505,180
2,,,,4.0,3.0,5.0,,N N,233
3,,,,8.0,2.0,1.0,92.26,506,165
4,,,,8.0,3.0,4.0,,N N,105
5,,,,6.0,3.0,3.0,7.57,601,125
6,,,,8.0,,2.0,68.89,511,160
7,,,,8.0,3.0,2.0,60.48,600,165
8,,,,6.0,2.0,1.0,97.53,500,162
9,,,,6.0,3.0,1.0,76.45,505,135
10,,,,6.0,1.0,2.0,34.79,504,117
11,,,,1.0,1.0,7.0,64.23,507,140
12,,,,6.0,1.0,4.0,95.81,502,159
13,,,,6.0,1.0,4.0,82.18,506,145
14,,,,6.0,1.0,2.0,99.42,504,300
15,,,,7.0,1.0,5.0,86.65,509,163
16,,,,8.0,4.0,2.0,98.75,506,215
17,,,,8.0,1.0,3.0,99.19,602,270
18,,,,3.0,3.0,5.0,3.87,604,150
19,,,,6.0,3.0,5.0,17.75,505,110
20,,,,2.0,3.0,1.0,,500,115
21,,,,4.0,3.0,3.0,,604,N
22,,,,7.0,3.0,4.0,99.4,603,290
23,,,,7.0,2.0,5.0,97.68,508,210
24,,,Grade 10,8.0,1.0,5.0,,511,183
25,,,,6.0,2.0,5.0,66.26,504,132
26,,,,6.0,4.0,2.0,85.29,505,150
27,,,,6.0,5.0,5.0,14.23,503,104
28,,,,5.0,1.0,4.0,80.27,509,165
29,,,,8.0,3.0,5.0,87.4,600,185
30,,,,8.0,3.0,3.0,72.37,510,165
31,,,,8.0,2.0,4.0,38.19,509,140
32,,,,8.0,2.0,2.0,92.37,503,155
33,,,,always online,1.0,2.0,87.37,510,175
34,,,,4.0,4.0,2.0,5.48,601,140
35,,,,6.0,5.0,3.0,70.33,505,138
36,,,,6.0,2.0,4.0,37.22,603,154
37,,,,6.0,3.0,4.0,34.79,504,117
38,,,,6.0,1.0,6.0,95.78,604,245
39,,,,6.0,2.0,4.0,99.53,511,270
40,,,,6.0,1.0,4.0,72.6,508,155
41,,,,8.0,2.0,5.0,55.26,504,126
42,,,,6.0,1.0,5.0,,504,125
43,,,,6.0,4.0,3.0,55.89,409,98
44,,,,8.0,3.0,6.0,95.58,502,162
45,,,,1.0,5.0,4.0,92.85,507,175
46,,,,6.0,2.0,3.0,92.69,509,185
47,,,,4.0,5.0,3.0,63.62,502,121
48,,,,1.0,4.0,4.0,88.82,505,156
