row_id,height_orig,social_media_use,age
1,505.0,6.0,
2,,4.0,
3,506.0,8.0,
4,,8.0,
5,601.0,6.0,
6,511.0,8.0,
7,600.0,8.0,
8,500.0,6.0,
9,505.0,6.0,
10,504.0,6.0,
11,507.0,1.0,
12,502.0,6.0,
13,506.0,6.0,
14,504.0,6.0,
15,509.0,7.0,
16,506.0,8.0,
17,602.0,8.0,
18,604.0,3.0,
19,505.0,6.0,
20,500.0,2.0,
21,604.0,4.0,
22,603.0,7.0,
23,508.0,7.0,
24,511.0,8.0,
25,504.0,6.0,
26,505.0,6.0,
27,503.0,6.0,
28,509.0,5.0,
29,600.0,8.0,
30,510.0,8.0,
31,509.0,8.0,
32,503.0,8.0,
33,510.0,,
34,601.0,4.0,
35,505.0,6.0,
36,603.0,6.0,
37,504.0,6.0,
38,604.0,6.0,
39,511.0,6.0,
40,508.0,6.0,
41,504.0,8.0,
42,504.0,6.0,
43,409.0,6.0,
44,502.0,8.0,
45,507.0,1.0,
46,509.0,6.0,
47,502.0,4.0,
48,505.0,1.0,
49,500.0,8.0,
50,505.0,7.0,
51,504.0,8.0,
52,509.0,1.0,
53,505.0,8.0,
54,603.0,7.0,
55,600.0,6.0,
56,600.0,5.0,
57,607.0,6.0,
58,511.0,6.0,
59,509.0,4.0,
60,603.0,6.0,
61,509.0,8.0,
62,600.0,7.0,
63,510.0,5.0,
64,509.0,4.0,
65,501.0,8.0,
66,504.0,5.0,
67,505.0,6.0,
68,511.0,6.0,
69,505.0,8.0,
70,507.0,6.0,
71,508.0,6.0,
72,506.0,6.0,
73,505.0,6.0,
74,505.0,1.0,
75,507.0,4.0,
76,509.0,8.0,
77,505.0,8.0,
78,602.0,8.0,
79,505.0,5.0,
80,600.0,1.0,
81,501.0,6.0,
82,509.0,8.0,
83,600.0,6.0,
84,503.0,6.0,
85,502.0,1.0,
86,600.0,4.0,
87,605.0,4.0,
88,403.0,1.0,
89,511.0,6.0,
90,508.0,8.0,
91,506.0,8.0,
92,504.0,6.0,
93,508.0,8.0,
94,506.0,8.0,
95,505.0,6.0,
96,503.0,5.0,
97,504.0,7.0,
98,505.0,8.0,
99,502.0,6.0,
100,510.0,7.0,
101,508.0,,
102,504.0,8.0,
103,510.0,8.0,
104,510.0,8.0,
105,601.0,5.0,
106,602.0,8.0,
107,501.0,6.0,
108,602.0,6.0,
109,505.0,6.0,
110,508.0,8.0,
111,510.0,8.0,
112,600.0,2.0,
113,504.0,8.0,
114,503.0,8.0,
115,503.0,2.0,
116,506.0,8.0,
117,603.0,2.0,
118,601.0,6.0,
119,509.0,8.0,
120,411.0,8.0,
121,505.0,7.0,
122,510.0,6.0,
123,502.0,6.0,
124,601.0,5.0,
125,504.0,8.0,
126,504.0,5.0,
127,507.0,1.0,
128,505.0,8.0,
129,500.0,8.0,
130,510.0,5.0,
131,506.0,8.0,
132,602.0,7.0,
133,604.0,6.0,
134,502.0,6.0,
